WKT,id,name,alt_name,latitude,longitude
"POINT (106.8211293 -6.2011559)",31.0,DKI JAKARTA,DKI JAKARTA,-6.2011559,106.8211293
"POINT (107.64047 -6.88917)",32.0,JAWA BARAT,JAWA BARAT,-6.88917,107.64047
"POINT (110.1300673 -7.1976648)",33.0,JAWA TENGAH,JAWA TENGAH,-7.1976648,110.1300673
"POINT (110.3632393 -7.8003467)",34.0,DI YOGYAKARTA,DI YOGYAKARTA,-7.8003467,110.3632393
"POINT (112.2222237 -7.5464224)",35.0,JAWA TIMUR,JAWA TIMUR,-7.5464224,112.2222237
"POINT (106.13756 -6.44538)",36.0,BANTEN,BANTEN,-6.44538,106.13756
