"nama tempat","kategori","latitude","longitude"
"Kampus B STT-NF","kampus","-6.352886477756983","106.83262245356362"
"Toko Kopi Tuku","kedai kopi","-6.353754623905032","106.83818406714285"
"VAPEOI","toko vape","-6.359405948243397","106.84288329701671"
"Kampus A STT-NF","kampus","-6.362348877454182","106.8444711646453"
"Masjid Jami' Al-Ma'mur","masjid","-6.355759251720138","106.84277600866342"
"Alfamidi Raya RTM","toko","-6.355460690625706","106.84260434729815"
"SPBU Pertamina 3416908","pom bensin","-6.354735612960692","106.84582299789669"
"Ayam Geprek Juara","warung cepat saji","-6.3580837571707365","106.84299058536999"
